X1,Y1,X2,Y2,,,,,,,,,,,,,,,,
-2.14E-03,-3.80E-01,-2.14E-03,-1.52,,,,,,,,,,,,,,,,
-2.14E-03,-4.00E-01,-2.14E-03,-1.4399999,,,,,,,,,,,,,,,,
-2.13E-03,-3.80E-01,-2.13E-03,-1.4399999,,,,,,,,,,,,,,,,
-2.13E-03,-4.00E-01,-2.13E-03,-1.36,,,,,,,,,,,,,,,,
-2.13E-03,-3.80E-01,-2.13E-03,-1.36,,,,,,,,,,,,,,,,
-2.13E-03,-4.00E-01,-2.13E-03,-1.36,,,,,,,,,,,,,,,,
-2.13E-03,-4.00E-01,-2.13E-03,-1.28,,,,,,,,,,,,,,,,
-2.12E-03,-4.00E-01,-2.12E-03,-1.28,,,,,,,,,,,,,,,,
-2.12E-03,-4.00E-01,-2.12E-03,-1.28,,,,,,,,,,,,,,,,
-2.12E-03,-4.20E-01,-2.12E-03,-1.1999999,,,,,,,,,,,,,,,,
-2.12E-03,-4.20E-01,-2.12E-03,-1.1999999,,,,,,,,,,,,,,,,
-2.12E-03,-4.00E-01,-2.12E-03,-1.1999999,,,,,,,,,,,,,,,,
-2.11E-03,-4.00E-01,-2.11E-03,-1.12,,,,,,,,,,,,,,,,
-2.11E-03,-4.20E-01,-2.11E-03,-1.12,,,,,,,,,,,,,,,,
-2.11E-03,-4.20E-01,-2.11E-03,-1.04,,,,,,,,,,,,,,,,
-2.11E-03,-4.00E-01,-2.11E-03,-1.04,,,,,,,,,,,,,,,,
-2.11E-03,-4.20E-01,-2.11E-03,-1.04,,,,,,,,,,,,,,,,
-2.10E-03,-4.20E-01,-2.10E-03,-1.04,,,,,,,,,,,,,,,,
-2.10E-03,-4.20E-01,-2.10E-03,-9.60E-01,,,,,,,,,,,,,,,,
-2.10E-03,-4.20E-01,-2.10E-03,-9.60E-01,,,,,,,,,,,,,,,,
-2.10E-03,-4.20E-01,-2.10E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.10E-03,-4.40E-01,-2.10E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.09E-03,-4.40E-01,-2.09E-03,-8.80E-01,,,,,,,,,,,,,,,,
-2.09E-03,-4.20E-01,-2.09E-03,-8.00E-01,,,,,,,,,,,,,,,,
-2.09E-03,-4.20E-01,-2.09E-03,-8.00E-01,,,,,,,,,,,,,,,,
-2.09E-03,-4.00E-01,-2.09E-03,-7.20E-01,,,,,,,,,,,,,,,,
-2.09E-03,-4.20E-01,-2.09E-03,-7.20E-01,,,,,,,,,,,,,,,,
-2.08E-03,-4.20E-01,-2.08E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.08E-03,-4.20E-01,-2.08E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.08E-03,-4.20E-01,-2.08E-03,-6.40E-01,,,,,,,,,,,,,,,,
-2.08E-03,-4.20E-01,-2.08E-03,-5.60E-01,,,,,,,,,,,,,,,,
-2.08E-03,-4.00E-01,-2.08E-03,-5.60E-01,,,,,,,,,,,,,,,,
-2.07E-03,-4.20E-01,-2.07E-03,-5.60E-01,,,,,,,,,,,,,,,,
-2.07E-03,-4.40E-01,-2.07E-03,-4.80E-01,,,,,,,,,,,,,,,,
-2.07E-03,-4.40E-01,-2.07E-03,-4.80E-01,,,,,,,,,,,,,,,,
-2.07E-03,-4.40E-01,-2.07E-03,-4.00E-01,,,,,,,,,,,,,,,,
-2.07E-03,-4.40E-01,-2.07E-03,-4.00E-01,,,,,,,,,,,,,,,,
-2.06E-03,-4.40E-01,-2.06E-03,-4.00E-01,,,,,,,,,,,,,,,,
-2.06E-03,-4.40E-01,-2.06E-03,-4.00E-01,,,,,,,,,,,,,,,,
-2.06E-03,-4.40E-01,-2.06E-03,-3.20E-01,,,,,,,,,,,,,,,,
-2.06E-03,-4.40E-01,-2.06E-03,-3.20E-01,,,,,,,,,,,,,,,,
-2.06E-03,-4.40E-01,-2.06E-03,-2.40E-01,,,,,,,,,,,,,,,,
-2.05E-03,-4.20E-01,-2.05E-03,-2.40E-01,,,,,,,,,,,,,,,,
-2.05E-03,-4.20E-01,-2.05E-03,-2.40E-01,,,,,,,,,,,,,,,,
-2.05E-03,-4.40E-01,-2.05E-03,-1.60E-01,,,,,,,,,,,,,,,,
-2.05E-03,-4.20E-01,-2.05E-03,-8.00E-02,,,,,,,,,,,,,,,,
-2.05E-03,-4.40E-01,-2.05E-03,0,,,,,,,,,,,,,,,,
-2.04E-03,-4.40E-01,-2.04E-03,0,,,,,,,,,,,,,,,,
-2.04E-03,-4.20E-01,-2.04E-03,0,,,,,,,,,,,,,,,,
-2.04E-03,-4.20E-01,-2.04E-03,0,,,,,,,,,,,,,,,,
-2.04E-03,-4.20E-01,-2.04E-03,8.00E-02,,,,,,,,,,,,,,,,
-2.04E-03,-4.20E-01,-2.04E-03,8.00E-02,,,,,,,,,,,,,,,,
-2.03E-03,-4.20E-01,-2.03E-03,8.00E-02,,,,,,,,,,,,,,,,
-2.03E-03,-4.00E-01,-2.03E-03,1.60E-01,,,,,,,,,,,,,,,,
-2.03E-03,-4.00E-01,-2.03E-03,1.60E-01,,,,,,,,,,,,,,,,
-2.03E-03,-4.20E-01,-2.03E-03,1.60E-01,,,,,,,,,,,,,,,,
-2.03E-03,-4.20E-01,-2.03E-03,2.40E-01,,,,,,,,,,,,,,,,
-2.02E-03,-4.20E-01,-2.02E-03,2.40E-01,,,,,,,,,,,,,,,,
-2.02E-03,-4.00E-01,-2.02E-03,2.40E-01,,,,,,,,,,,,,,,,
-2.02E-03,-4.00E-01,-2.02E-03,3.20E-01,,,,,,,,,,,,,,,,
-2.02E-03,-4.00E-01,-2.02E-03,3.20E-01,,,,,,,,,,,,,,,,
-2.02E-03,-4.00E-01,-2.02E-03,3.20E-01,,,,,,,,,,,,,,,,
-2.01E-03,-4.00E-01,-2.01E-03,4.00E-01,,,,,,,,,,,,,,,,
-2.01E-03,-3.80E-01,-2.01E-03,4.00E-01,,,,,,,,,,,,,,,,
-2.01E-03,-4.00E-01,-2.01E-03,4.80E-01,,,,,,,,,,,,,,,,
-2.01E-03,-4.00E-01,-2.01E-03,4.80E-01,,,,,,,,,,,,,,,,
-2.01E-03,-4.00E-01,-2.01E-03,4.80E-01,,,,,,,,,,,,,,,,
-2.00E-03,-4.00E-01,-2.00E-03,5.60E-01,,,,,,,,,,,,,,,,
-2.00E-03,-4.00E-01,-2.00E-03,5.60E-01,,,,,,,,,,,,,,,,
-2.00E-03,-3.80E-01,-2.00E-03,5.60E-01,,,,,,,,,,,,,,,,
-2.00E-03,-3.80E-01,-2.00E-03,6.40E-01,,,,,,,,,,,,,,,,
-2.00E-03,-3.80E-01,-2.00E-03,7.20E-01,,,,,,,,,,,,,,,,
-1.99E-03,-3.80E-01,-1.99E-03,7.20E-01,,,,,,,,,,,,,,,,
-1.99E-03,-3.80E-01,-1.99E-03,7.20E-01,,,,,,,,,,,,,,,,
-1.99E-03,-3.80E-01,-1.99E-03,7.20E-01,,,,,,,,,,,,,,,,
-1.99E-03,-3.60E-01,-1.99E-03,8.00E-01,,,,,,,,,,,,,,,,
-1.99E-03,-3.60E-01,-1.99E-03,8.00E-01,,,,,,,,,,,,,,,,
-1.98E-03,-3.80E-01,-1.98E-03,8.00E-01,,,,,,,,,,,,,,,,
-1.98E-03,-3.60E-01,-1.98E-03,8.80E-01,,,,,,,,,,,,,,,,
-1.98E-03,-3.60E-01,-1.98E-03,9.60E-01,,,,,,,,,,,,,,,,
-1.98E-03,-3.80E-01,-1.98E-03,8.80E-01,,,,,,,,,,,,,,,,
-1.98E-03,-3.60E-01,-1.98E-03,9.60E-01,,,,,,,,,,,,,,,,
-1.97E-03,-3.60E-01,-1.97E-03,9.60E-01,,,,,,,,,,,,,,,,
-1.97E-03,-3.60E-01,-1.97E-03,1.04,,,,,,,,,,,,,,,,
-1.97E-03,-3.40E-01,-1.97E-03,1.04,,,,,,,,,,,,,,,,
-1.97E-03,-3.40E-01,-1.97E-03,1.04,,,,,,,,,,,,,,,,
-1.97E-03,-3.60E-01,-1.97E-03,1.04,,,,,,,,,,,,,,,,
-1.96E-03,-3.40E-01,-1.96E-03,1.04,,,,,,,,,,,,,,,,
-1.96E-03,-3.40E-01,-1.96E-03,1.12,,,,,,,,,,,,,,,,
-1.96E-03,-3.40E-01,-1.96E-03,1.1999999,,,,,,,,,,,,,,,,
-1.96E-03,-3.20E-01,-1.96E-03,1.1999999,,,,,,,,,,,,,,,,
-1.96E-03,-3.00E-01,-1.96E-03,1.28,,,,,,,,,,,,,,,,
-1.95E-03,-3.20E-01,-1.95E-03,1.28,,,,,,,,,,,,,,,,
-1.95E-03,-3.00E-01,-1.95E-03,1.28,,,,,,,,,,,,,,,,
-1.95E-03,-3.40E-01,-1.95E-03,1.36,,,,,,,,,,,,,,,,
-1.95E-03,-3.20E-01,-1.95E-03,1.36,,,,,,,,,,,,,,,,
-1.95E-03,-3.00E-01,-1.95E-03,1.36,,,,,,,,,,,,,,,,
-1.94E-03,-2.80E-01,-1.94E-03,1.36,,,,,,,,,,,,,,,,
-1.94E-03,-3.00E-01,-1.94E-03,1.36,,,,,,,,,,,,,,,,
-1.94E-03,-2.80E-01,-1.94E-03,1.4399999,,,,,,,,,,,,,,,,
-1.94E-03,-2.80E-01,-1.94E-03,1.52,,,,,,,,,,,,,,,,
-1.94E-03,-2.80E-01,-1.94E-03,1.52,,,,,,,,,,,,,,,,
-1.93E-03,-3.00E-01,-1.93E-03,1.52,,,,,,,,,,,,,,,,
-1.93E-03,-2.60E-01,-1.93E-03,1.52,,,,,,,,,,,,,,,,
-1.93E-03,-2.80E-01,-1.93E-03,1.5999999,,,,,,,,,,,,,,,,
-1.93E-03,-2.40E-01,-1.93E-03,1.5999999,,,,,,,,,,,,,,,,
-1.93E-03,-2.60E-01,-1.93E-03,1.5999999,,,,,,,,,,,,,,,,
-1.92E-03,-2.40E-01,-1.92E-03,1.5999999,,,,,,,,,,,,,,,,
-1.92E-03,-2.40E-01,-1.92E-03,1.6799999,,,,,,,,,,,,,,,,
-1.92E-03,-2.20E-01,-1.92E-03,1.76,,,,,,,,,,,,,,,,
-1.92E-03,-2.40E-01,-1.92E-03,1.76,,,,,,,,,,,,,,,,
-1.92E-03,-2.40E-01,-1.92E-03,1.76,,,,,,,,,,,,,,,,
-1.91E-03,-2.40E-01,-1.91E-03,1.8399999,,,,,,,,,,,,,,,,
-1.91E-03,-2.40E-01,-1.91E-03,1.8399999,,,,,,,,,,,,,,,,
-1.91E-03,-2.20E-01,-1.91E-03,1.8399999,,,,,,,,,,,,,,,,
-1.91E-03,-2.40E-01,-1.91E-03,1.8399999,,,,,,,,,,,,,,,,
-1.91E-03,-2.20E-01,-1.91E-03,1.8399999,,,,,,,,,,,,,,,,
-1.90E-03,-2.40E-01,-1.90E-03,1.92,,,,,,,,,,,,,,,,
-1.90E-03,-2.00E-01,-1.90E-03,1.92,,,,,,,,,,,,,,,,
-1.90E-03,-2.20E-01,-1.90E-03,1.92,,,,,,,,,,,,,,,,
-1.90E-03,-2.00E-01,-1.90E-03,1.92,,,,,,,,,,,,,,,,
-1.90E-03,-1.80E-01,-1.90E-03,1.92,,,,,,,,,,,,,,,,
