Distance_(cm),Gray_Value
23.4494,202.306
23.4759,200.419
23.5023,198.489
23.5287,196.516
23.5552,194.247
23.5816,192.043
23.6080,189.710
23.6345,187.333
23.6609,185.479
23.6874,182.849
23.7138,180.435
23.7402,177.925
23.7667,175.554
23.7931,173.484
23.8195,171.038
23.8460,168.919
23.8724,166.962
23.8989,164.989
23.9253,162.479
23.9517,160.430
23.9782,157.683
24.0046,154.919
24.0310,152.935
24.0575,150.935
24.0839,148.726
24.1103,146.425
24.1368,144.548
24.1632,142.860
24.1897,140.973
24.2161,139.581
24.2425,138.118
24.2690,137.156
24.2954,136.656
24.3218,136.333
24.3483,136.172
24.3747,137.312
24.4011,145.194
24.4276,169.183
24.4540,197.011
24.4805,209.118
24.5069,212.333
24.5333,211.753
24.5598,209.844
24.5862,206.828
24.6126,203.866
24.6391,201.151
24.6655,199.484
24.6920,198.441
24.7184,197.871
24.7448,196.989
24.7713,196.366
24.7977,195.731
24.8241,195.065
24.8506,194.226
24.8770,193.210
24.9034,192.392
24.9299,191.699
24.9563,191.129
24.9828,190.048
25.0092,189.333
25.0356,188.414
25.0621,187.489
25.0885,186.731
25.1149,185.677
25.1414,184.828
25.1678,183.763
25.1943,182.823
25.2207,181.688
25.2471,180.640
25.2736,179.876
25.3000,178.618
25.3264,177.591
25.3529,176.403
25.3793,175.414
25.4057,174.065
25.4322,172.882
25.4586,172.048
25.4851,171.075
25.5115,170.263
25.5379,168.742
25.5644,167.495
25.5908,165.866
25.6172,164.156
25.6437,162.403
25.6701,160.726
25.6966,159.210
25.7230,157.387
25.7494,155.667
25.7759,154.156
25.8023,152.274
25.8287,150.559
25.8552,149.081
25.8816,147.258
25.9080,145.339
