Sinusoidal, 0.1Hz, 2V;;Saturación;;Sinusoidal, 0.3Hz, 2V;;Saturación;;Sierra, 0.1Hz, 2V;;Saturación;;Sierra, 0.3Hz, 2V;;Saturación;
I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs;I_A1 / A;&F / Vs
-0.043;-0.26;;;0.341;0.16;;;0.123;-0.12;;;0.254;0.37;;
-0.037;-0.26;;;0.367;0.2;;;0.136;-0.1;;;0.227;0.36;;
-0.03;-0.25;;;0.391;0.23;;;0.149;-0.09;;;0.199;0.36;;
-0.004;-0.24;;;0.412;0.26;;;0.162;-0.07;;;0.17;0.35;;
0.03;-0.23;;;0.43;0.29;;;0.175;-0.05;;;0.14;0.35;;
0.053;-0.21;;;0.445;0.32;;;0.189;-0.03;;;0.111;0.34;;
0.073;-0.2;;;0.455;0.34;;;0.203;-0.01;;;0.081;0.33;;
0.091;-0.18;;;0.462;0.36;;;0.216;0.02;;;0.052;0.32;;
0.109;-0.17;;;0.462;0.38;;;0.231;0.04;;;0.022;0.31;;
0.123;-0.15;;;0.457;0.39;;;0.245;0.06;;;-0.005;0.3;;
0.138;-0.13;;;0.446;0.4;;;0.263;0.09;;;-0.032;0.28;;
0.151;-0.11;;;0.428;0.41;;;0.279;0.11;;;-0.059;0.27;;
0.164;-0.09;;;0.406;0.41;;;0.296;0.14;;;-0.084;0.25;;
0.176;-0.07;;;0.377;0.42;;;0.314;0.16;;;-0.107;0.23;;
0.19;-0.04;;;0.342;0.41;;;0.333;0.19;;;-0.128;0.21;;
0.204;-0.02;;;0.302;0.41;;;0.351;0.22;;;-0.148;0.19;;
0.218;0;;;0.259;0.4;;;0.372;0.24;;;-0.168;0.16;;
0.232;0.03;;;0.213;0.39;;;0.393;0.27;;;-0.189;0.14;;
0.244;0.05;;;0.166;0.38;;;0.415;0.29;;;-0.211;0.11;;
0.258;0.08;;;0.118;0.37;;;0.439;0.32;;;-0.235;0.08;;
0.272;0.1;;;0.072;0.36;;;0.462;0.34;;;-0.262;0.04;;
0.286;0.13;;;0.026;0.34;;;0.478;0.37;;;-0.29;0.01;;
0.301;0.16;;;-0.017;0.32;;;0.486;0.39;;;-0.322;-0.03;;
0.318;0.18;;;-0.057;0.3;;;0.49;0.4;;;-0.347;-0.06;;
0.332;0.21;;;-0.093;0.27;;;0.491;0.42;;;-0.359;-0.09;;
0.349;0.23;;;-0.125;0.24;;;0.49;0.43;;;-0.365;-0.11;;
0.366;0.26;;;-0.154;0.21;;;0.487;0.44;;;-0.364;-0.13;;
0.383;0.28;;;-0.182;0.17;;;0.482;0.45;;;-0.36;-0.14;;
0.398;0.3;;;-0.211;0.14;;;0.476;0.45;;;-0.351;-0.15;;
0.411;0.32;;;-0.24;0.1;;;0.468;0.46;;;-0.34;-0.16;;
0.424;0.35;;;-0.271;0.06;;;0.458;0.46;;;-0.324;-0.16;;
0.436;0.36;;;-0.299;0.02;;;0.447;0.46;;;-0.305;-0.17;;
0.447;0.38;;;-0.328;-0.02;;;0.434;0.46;;;-0.283;-0.17;;
0.457;0.4;;;-0.355;-0.06;;;0.42;0.46;;;-0.258;-0.16;;
0.466;0.42;;;-0.38;-0.09;;;0.406;0.46;;;-0.231;-0.16;;
0.474;0.43;;;-0.403;-0.13;;;0.389;0.46;;;-0.203;-0.16;;
0.48;0.44;;;-0.423;-0.16;;;0.371;0.46;;;-0.173;-0.15;;
0.485;0.46;;;-0.44;-0.19;;;0.354;0.45;;;-0.143;-0.14;;
0.49;0.47;;;-0.452;-0.21;;;0.336;0.45;;;-0.114;-0.14;;
0.493;0.48;;;-0.461;-0.23;;;0.318;0.45;;;-0.085;-0.13;;
0.495;0.48;;;-0.465;-0.25;;;0.3;0.44;;;-0.057;-0.12;;
0.496;0.49;;;-0.463;-0.27;;;0.282;0.44;;;-0.028;-0.11;;
0.495;0.5;;;-0.456;-0.28;;;0.264;0.44;;;0.001;-0.1;;
0.493;0.5;;;-0.443;-0.29;;;0.246;0.43;;;0.029;-0.08;;
0.49;0.51;;;-0.423;-0.29;;;0.228;0.43;;;0.054;-0.07;;
0.485;0.51;;;-0.399;-0.3;;;0.209;0.42;;;0.08;-0.05;;
0.478;0.51;;;-0.365;-0.3;;;0.191;0.42;;;0.103;-0.03;;
0.47;0.51;;;-0.33;-0.29;;;0.173;0.41;;;0.126;-0.01;;
0.459;0.51;;;-0.29;-0.29;;;0.155;0.41;;;0.145;0.01;;
0.445;0.51;;;-0.246;-0.28;;;0.137;0.4;;;0.165;0.04;;
0.432;0.51;;;-0.201;-0.27;;;0.119;0.39;;;0.185;0.06;;
0.42;0.51;;;-0.154;-0.26;;;0.102;0.39;;;0.206;0.09;;
