X1,Y1,X2,Y2,,,,,,
-2.11E-03,2.56E-01,-2.11E-03,2.56E-01,,,,,,
-2.11E-03,2.48E-01,-2.11E-03,2.56E-01,,,,,,
-2.11E-03,2.56E-01,-2.11E-03,2.56E-01,,,,,,
-2.11E-03,2.56E-01,-2.11E-03,2.56E-01,,,,,,
-2.11E-03,2.48E-01,-2.11E-03,2.48E-01,,,,,,
-2.10E-03,2.40E-01,-2.10E-03,2.48E-01,,,,,,
-2.10E-03,2.40E-01,-2.10E-03,2.40E-01,,,,,,
-2.10E-03,2.48E-01,-2.10E-03,2.40E-01,,,,,,
-2.10E-03,2.40E-01,-2.10E-03,2.40E-01,,,,,,
-2.10E-03,2.48E-01,-2.10E-03,2.32E-01,,,,,,
-2.09E-03,2.48E-01,-2.09E-03,2.32E-01,,,,,,
-2.09E-03,2.48E-01,-2.09E-03,2.40E-01,,,,,,
-2.09E-03,2.48E-01,-2.09E-03,2.32E-01,,,,,,
-2.09E-03,2.40E-01,-2.09E-03,2.24E-01,,,,,,
-2.09E-03,2.40E-01,-2.09E-03,2.48E-01,,,,,,
-2.08E-03,2.40E-01,-2.08E-03,2.40E-01,,,,,,
-2.08E-03,2.40E-01,-2.08E-03,2.40E-01,,,,,,
-2.08E-03,2.32E-01,-2.08E-03,2.32E-01,,,,,,
-2.08E-03,2.32E-01,-2.08E-03,2.40E-01,,,,,,
-2.08E-03,2.24E-01,-2.08E-03,2.32E-01,,,,,,
-2.07E-03,2.32E-01,-2.07E-03,2.32E-01,,,,,,
-2.07E-03,2.24E-01,-2.07E-03,2.24E-01,,,,,,
-2.07E-03,2.24E-01,-2.07E-03,2.24E-01,,,,,,
-2.07E-03,2.24E-01,-2.07E-03,2.24E-01,,,,,,
-2.07E-03,2.24E-01,-2.07E-03,2.24E-01,,,,,,
-2.06E-03,2.24E-01,-2.06E-03,2.16E-01,,,,,,
-2.06E-03,2.24E-01,-2.06E-03,2.24E-01,,,,,,
-2.06E-03,2.16E-01,-2.06E-03,2.24E-01,,,,,,
-2.06E-03,2.08E-01,-2.06E-03,2.24E-01,,,,,,
-2.06E-03,2.08E-01,-2.06E-03,2.16E-01,,,,,,
-2.05E-03,2.08E-01,-2.05E-03,2.16E-01,,,,,,
-2.05E-03,2.08E-01,-2.05E-03,2.08E-01,,,,,,
-2.05E-03,2.00E-01,-2.05E-03,2.08E-01,,,,,,
-2.05E-03,2.08E-01,-2.05E-03,2.08E-01,,,,,,
-2.05E-03,2.08E-01,-2.05E-03,2.08E-01,,,,,,
-2.04E-03,1.92E-01,-2.04E-03,2.00E-01,,,,,,
-2.04E-03,1.92E-01,-2.04E-03,2.00E-01,,,,,,
-2.04E-03,1.92E-01,-2.04E-03,1.92E-01,,,,,,
-2.04E-03,1.84E-01,-2.04E-03,1.84E-01,,,,,,
-2.04E-03,1.84E-01,-2.04E-03,1.84E-01,,,,,,
-2.03E-03,1.84E-01,-2.03E-03,1.84E-01,,,,,,
-2.03E-03,1.84E-01,-2.03E-03,1.84E-01,,,,,,
-2.03E-03,1.76E-01,-2.03E-03,1.84E-01,,,,,,
-2.03E-03,1.76E-01,-2.03E-03,1.76E-01,,,,,,
-2.03E-03,1.76E-01,-2.03E-03,1.68E-01,,,,,,
-2.02E-03,1.76E-01,-2.02E-03,1.76E-01,,,,,,
-2.02E-03,1.76E-01,-2.02E-03,1.76E-01,,,,,,
-2.02E-03,1.68E-01,-2.02E-03,1.68E-01,,,,,,
-2.02E-03,1.76E-01,-2.02E-03,1.68E-01,,,,,,
-2.02E-03,1.68E-01,-2.02E-03,1.60E-01,,,,,,
-2.01E-03,1.68E-01,-2.01E-03,1.60E-01,,,,,,
-2.01E-03,1.68E-01,-2.01E-03,1.52E-01,,,,,,
-2.01E-03,1.60E-01,-2.01E-03,1.60E-01,,,,,,
