Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;;;
;;;-11280.001;-599999964.2;;;;;-11280.001;-19999998.81;;;;
;;;-11270.001;-599999964.2;;;;;-11270.001;-19999998.81;;;;
;;;-11260.001;-599999964.2;;;;;-11260.001;-21999999.88;;;;
;;;-11250.001;-599999964.2;;;;;-11250.001;-19999998.81;;;;
;;;-11240.001;-599999964.2;;;;;-11240.001;-19999998.81;;;;
;;;-11230.001;-560000002.4;;;;;-11230.001;-19999998.81;;;;
;;;-11220;-560000002.4;;;;;-11220;-19999998.81;;;;
;;;-11210;-519999980.9;;;;;-11210;-19999998.81;;;;
;;;-11200;-560000002.4;;;;;-11200;-19999998.81;;;;
;;;-11190;-560000002.4;;;;;-11190;-19999998.81;;;;
;;;-11180;-560000002.4;;;;;-11180;-19999998.81;;;;
;;;-11170;-560000002.4;;;;;-11170;-21999999.88;;;;
;;;-11160;-519999980.9;;;;;-11160;-19999998.81;;;;
;;;-11150;-519999980.9;;;;;-11150;-19999998.81;;;;
;;;-11140.001;-519999980.9;;;;;-11140.001;-21999999.88;;;;
;;;-11130.001;-519999980.9;;;;;-11130.001;-19999998.81;;;;
;;;-11120.001;-519999980.9;;;;;-11120.001;-19999998.81;;;;
;;;-11110.001;-519999980.9;;;;;-11110.001;-19999998.81;;;;
;;;-11100.001;-519999980.9;;;;;-11100.001;-19999998.81;;;;
;;;-11090.001;-519999980.9;;;;;-11090.001;-19999998.81;;;;
;;;-11080.001;-519999980.9;;;;;-11080.001;-21999999.88;;;;
;;;-11070;-519999980.9;;;;;-11070;-23999999.46;;;;
;;;-11060;-479999989.3;;;;;-11060;-19999998.81;;;;
;;;-11050;-479999989.3;;;;;-11050;-19999998.81;;;;
;;;-11040;-439999997.6;;;;;-11040;-19999998.81;;;;
;;;-11030;-439999997.6;;;;;-11030;-21999999.88;;;;
;;;-11020;-439999997.6;;;;;-11020;-21999999.88;;;;
;;;-11010;-479999989.3;;;;;-11010;-19999998.81;;;;
;;;-11000;-439999997.6;;;;;-11000;-21999999.88;;;;
;;;-10990;-439999997.6;;;;;-10990;-21999999.88;;;;
;;;-10980.001;-479999989.3;;;;;-10980.001;-19999998.81;;;;
;;;-10970.001;-439999997.6;;;;;-10970.001;-19999998.81;;;;
;;;-10960.001;-439999997.6;;;;;-10960.001;-21999999.88;;;;
;;;-10950.001;-439999997.6;;;;;-10950.001;-19999998.81;;;;
;;;-10940.001;-439999997.6;;;;;-10940.001;-19999998.81;;;;
;;;-10930.001;-39999997.62;;;;;-10930.001;-21999999.88;;;;
;;;-10920;-39999997.62;;;;;-10920;-21999999.88;;;;
;;;-10910;-39999997.62;;;;;-10910;-19999998.81;;;;
;;;-10900;-35999998.45;;;;;-10900;-21999999.88;;;;
;;;-10890;-39999997.62;;;;;-10890;-21999999.88;;;;
;;;-10880;-39999997.62;;;;;-10880;-21999999.88;;;;
;;;-10870;-35999998.45;;;;;-10870;-21999999.88;;;;
;;;-10860;-39999997.62;;;;;-10860;-21999999.88;;;;
;;;-10850;-35999998.45;;;;;-10850;-19999998.81;;;;
;;;-10840;-35999998.45;;;;;-10840;-21999999.88;;;;
;;;-10830.001;-35999998.45;;;;;-10830.001;-19999998.81;;;;
;;;-10820.001;-35999998.45;;;;;-10820.001;-21999999.88;;;;
;;;-10810.001;-35999998.45;;;;;-10810.001;-21999999.88;;;;
;;;-10800.001;-35999998.45;;;;;-10800.001;-19999998.81;;;;
;;;-10790.001;-31999999.29;;;;;-10790.001;-21999999.88;;;;
;;;-10780.001;-31999999.29;;;;;-10780.001;-21999999.88;;;;
;;;-10770.001;-31999999.29;;;;;-10770.001;-21999999.88;;;;
;;;-10760;-31999999.29;;;;;-10760;-19999998.81;;;;
;;;-10750;-28000000.12;;;;;-10750;-21999999.88;;;;
;;;-10740;-28000000.12;;;;;-10740;-23999999.46;;;;
;;;-10730;-28000000.12;;;;;-10730;-21999999.88;;;;
;;;-10720;-28000000.12;;;;;-10720;-21999999.88;;;;
;;;-10710;-23999999.46;;;;;-10710;-21999999.88;;;;
;;;-10700;-23999999.46;;;;;-10700;-21999999.88;;;;
;;;-10690;-23999999.46;;;;;-10690;-19999998.81;;;;
;;;-10680.001;-28000000.12;;;;;-10680.001;-21999999.88;;;;
;;;-10670.001;-23999999.46;;;;;-10670.001;-21999999.88;;;;
;;;-10660.001;-23999999.46;;;;;-10660.001;-21999999.88;;;;
;;;-10650.001;-23999999.46;;;;;-10650.001;-19999998.81;;;;
;;;-10640.001;-23999999.46;;;;;-10640.001;-21999999.88;;;;
;;;-10630.001;-23999999.46;;;;;-10630.001;-21999999.88;;;;
;;;-10620.001;-19999998.81;;;;;-10620.001;-23999999.46;;;;
;;;-10610;-19999998.81;;;;;-10610;-21999999.88;;;;
;;;-10600;-19999998.81;;;;;-10600;-21999999.88;;;;
;;;-10590;-19999998.81;;;;;-10590;-21999999.88;;;;
;;;-10580;-19999998.81;;;;;-10580;-23999999.46;;;;
;;;-10570;-23999999.46;;;;;-10570;-21999999.88;;;;
;;;-10560;-19999998.81;;;;;-10560;-21999999.88;;;;
;;;-10550;-15999999.64;;;;;-10550;-19999998.81;;;;
;;;-10540;-19999998.81;;;;;-10540;-21999999.88;;;;
;;;-10530.001;-15999999.64;;;;;-10530.001;-21999999.88;;;;
;;;-10520.001;-15999999.64;;;;;-10520.001;-21999999.88;;;;
;;;-10510.001;-15999999.64;;;;;-10510.001;-21999999.88;;;;
;;;-10500.001;-1199999.973;;;;;-10500.001;-21999999.88;;;;
;;;-10490.001;-15999999.64;;;;;-10490.001;-19999998.81;;;;
;;;-10480.001;-15999999.64;;;;;-10480.001;-21999999.88;;;;
;;;-10470.001;-1199999.973;;;;;-10470.001;-21999999.88;;;;
;;;-10460;-15999999.64;;;;;-10460;-21999999.88;;;;
;;;-10450;-1199999.973;;;;;-10450;-21999999.88;;;;
;;;-10440;-15999999.64;;;;;-10440;-19999998.81;;;;
;;;-10430;-1199999.973;;;;;-10430;-19999998.81;;;;
;;;-10420;-79999998.21;;;;;-10420;-21999999.88;;;;
;;;-10410;-79999998.21;;;;;-10410;-19999998.81;;;;
;;;-10400;-79999998.21;;;;;-10400;-19999998.81;;;;
;;;-10390;-1199999.973;;;;;-10390;-21999999.88;;;;
;;;-10380;-79999998.21;;;;;-10380;-21999999.88;;;;
;;;-10370.001;-79999998.21;;;;;-10370.001;-21999999.88;;;;
;;;-10360.001;-79999998.21;;;;;-10360.001;-21999999.88;;;;
;;;-10350.001;-79999998.21;;;;;-10350.001;-21999999.88;;;;
;;;-10340.001;-79999998.21;;;;;-10340.001;-23999999.46;;;;
;;;-10330.001;-79999998.21;;;;;-10330.001;-21999999.88;;;;
;;;-10320.001;-3999999.911;;;;;-10320.001;-21999999.88;;;;
;;;-10310.001;-3999999.911;;;;;-10310.001;-21999999.88;;;;
;;;-10300;0;;;;;-10300;-21999999.88;;;;
;;;-10290;0;;;;;-10290;-19999998.81;;;;
;;;-10280;-3999999.911;;;;;-10280;-21999999.88;;;;
;;;-10270;0;;;;;-10270;-19999998.81;;;;
;;;-10260;0;;;;;-10260;-21999999.88;;;;
;;;-10250;0;;;;;-10250;-19999998.81;;;;
;;;-10240;0;;;;;-10240;-19999998.81;;;;
;;;-10230;3999999.911;;;;;-10230;-19999998.81;;;;
;;;-10220.001;3999999.911;;;;;-10220.001;-19999998.81;;;;
;;;-10210.001;0;;;;;-10210.001;-19999998.81;;;;
;;;-10200.001;3999999.911;;;;;-10200.001;-19999998.81;;;;
;;;-10190.001;3999999.911;;;;;-10190.001;-21999999.88;;;;
;;;-10180.001;3999999.911;;;;;-10180.001;-19999998.81;;;;
;;;-10170.001;3999999.911;;;;;-10170.001;-19999998.81;;;;
;;;-10160.001;79999998.21;;;;;-10160.001;-19999998.81;;;;
;;;-10150;3999999.911;;;;;-10150;-19999998.81;;;;
;;;-10140;79999998.21;;;;;-10140;-19999998.81;;;;
;;;-10130;79999998.21;;;;;-10130;-19999998.81;;;;
;;;-10120;1199999.973;;;;;-10120;-19999998.81;;;;
;;;-10110;1199999.973;;;;;-10110;-19999998.81;;;;
;;;-10100;1199999.973;;;;;-10100;-19999998.81;;;;
;;;-10090;1199999.973;;;;;-10090;-19999998.81;;;;
;;;-10080;1199999.973;;;;;-10080;-19999998.81;;;;
;;;-10070.001;1199999.973;;;;;-10070.001;-19999998.81;;;;
;;;-10060.001;1199999.973;;;;;-10060.001;-19999998.81;;;;
;;;-10050.001;1199999.973;;;;;-10050.001;-19999998.81;;;;
;;;-10040.001;1199999.973;;;;;-10040.001;-19999998.81;;;;
;;;-10030.001;1199999.973;;;;;-10030.001;-17999999.23;;;;
;;;-10020.001;1199999.973;;;;;-10020.001;-21999999.88;;;;
;;;-10010.001;1199999.973;;;;;-10010.001;-19999998.81;;;;
;;;-10000;15999999.64;;;;;-10000;-19999998.81;;;;
;;;-999000.0399;15999999.64;;;;;-999000.0399;-19999998.81;;;;
;;;-998000.0323;15999999.64;;;;;-998000.0323;-19999998.81;;;;
;;;-997000.0247;15999999.64;;;;;-997000.0247;-19999998.81;;;;
;;;-996000.017;15999999.64;;;;;-996000.017;-19999998.81;;;;
;;;-995000.0094;19999998.81;;;;;-995000.0094;-19999998.81;;;;
;;;-994000.0018;19999998.81;;;;;-994000.0018;-19999998.81;;;;
;;;-992999.9942;19999998.81;;;;;-992999.9942;-19999998.81;;;;
;;;-991999.9866;19999998.81;;;;;-991999.9866;-17999999.23;;;;
;;;-991000.0954;19999998.81;;;;;-991000.0954;-19999998.81;;;;
;;;-990000.0878;23999999.46;;;;;-990000.0878;-19999998.81;;;;
;;;-989000.0802;23999999.46;;;;;-989000.0802;-17999999.23;;;;
;;;-988000.0725;23999999.46;;;;;-988000.0725;-19999998.81;;;;
;;;-987000.0649;23999999.46;;;;;-987000.0649;-19999998.81;;;;
;;;-986000.0573;23999999.46;;;;;-986000.0573;-19999998.81;;;;
;;;-985000.0497;23999999.46;;;;;-985000.0497;-19999998.81;;;;
;;;-984000.0421;23999999.46;;;;;-984000.0421;-19999998.81;;;;
;;;-983000.0345;28000000.12;;;;;-983000.0345;-17999999.23;;;;
;;;-982000.0269;28000000.12;;;;;-982000.0269;-19999998.81;;;;
;;;-981000.0192;28000000.12;;;;;-981000.0192;-19999998.81;;;;
;;;-980000.0116;28000000.12;;;;;-980000.0116;-17999999.23;;;;
;;;-979000.004;31999999.29;;;;;-979000.004;-17999999.23;;;;
;;;-977999.9964;28000000.12;;;;;-977999.9964;-19999998.81;;;;
;;;-976999.9888;31999999.29;;;;;-976999.9888;-17999999.23;;;;
;;;-976000.0394;35999998.45;;;;;-976000.0394;-17999999.23;;;;
;;;-975000.0318;31999999.29;;;;;-975000.0318;-17999999.23;;;;
;;;-974000.0241;31999999.29;;;;;-974000.0241;-19999998.81;;;;
;;;-973000.0165;31999999.29;;;;;-973000.0165;-17999999.23;;;;
;;;-972000.0671;31999999.29;;;;;-972000.0671;-15999999.64;;;;
;;;-971000.0595;35999998.45;;;;;-971000.0595;-17999999.23;;;;
;;;-970000.0519;35999998.45;;;;;-970000.0519;-17999999.23;;;;
;;;-969000.0443;35999998.45;;;;;-969000.0443;-17999999.23;;;;
;;;-968000.0367;35999998.45;;;;;-968000.0367;-17999999.23;;;;
;;;-967000.0291;39999997.62;;;;;-967000.0291;-15999999.64;;;;
;;;-966000.0214;35999998.45;;;;;-966000.0214;-15999999.64;;;;
;;;-965000.072;39999997.62;;;;;-965000.072;-17999999.23;;;;
;;;-964000.0644;35999998.45;;;;;-964000.0644;-17999999.23;;;;
;;;-963000.0568;39999997.62;;;;;-963000.0568;-17999999.23;;;;
;;;-962000.0492;39999997.62;;;;;-962000.0492;-15999999.64;;;;
;;;-961000.0416;39999997.62;;;;;-961000.0416;-17999999.23;;;;
;;;-960000.034;39999997.62;;;;;-960000.034;-17999999.23;;;;
;;;-959000.0263;439999997.6;;;;;-959000.0263;-15999999.64;;;;
;;;-958000.0187;439999997.6;;;;;-958000.0187;-17999999.23;;;;
;;;-957000.0693;439999997.6;;;;;-957000.0693;-15999999.64;;;;
;;;-956000.0617;439999997.6;;;;;-956000.0617;-1400000.006;;;;
;;;-955000.0541;439999997.6;;;;;-955000.0541;-17999999.23;;;;
;;;-954000.0465;479999989.3;;;;;-954000.0465;-17999999.23;;;;
;;;-953000.0389;439999997.6;;;;;-953000.0389;-15999999.64;;;;
;;;-952000.0312;479999989.3;;;;;-952000.0312;-15999999.64;;;;
;;;-951000.0236;439999997.6;;;;;-951000.0236;-15999999.64;;;;
;;;-950000.016;479999989.3;;;;;-950000.016;-1400000.006;;;;
;;;-949000.0666;479999989.3;;;;;-949000.0666;-15999999.64;;;;
;;;-948000.059;479999989.3;;;;;-948000.059;-15999999.64;;;;
;;;-947000.0514;479999989.3;;;;;-947000.0514;-15999999.64;;;;
;;;-946000.0438;479999989.3;;;;;-946000.0438;-1400000.006;;;;
;;;-945000.0362;479999989.3;;;;;-945000.0362;-15999999.64;;;;
;;;-944000.0285;519999980.9;;;;;-944000.0285;-15999999.64;;;;
;;;-943000.0209;519999980.9;;;;;-943000.0209;-15999999.64;;;;
;;;-942000.0715;519999980.9;;;;;-942000.0715;-15999999.64;;;;
;;;-941000.0639;479999989.3;;;;;-941000.0639;-1400000.006;;;;
;;;-940000.0563;519999980.9;;;;;-940000.0563;-1400000.006;;;;
;;;-939000.0487;519999980.9;;;;;-939000.0487;-1400000.006;;;;
;;;-938000.0411;519999980.9;;;;;-938000.0411;-15999999.64;;;;
;;;-937000.0334;560000002.4;;;;;-937000.0334;-15999999.64;;;;
;;;-936000.0258;560000002.4;;;;;-936000.0258;-1400000.006;;;;
;;;-935000.0182;560000002.4;;;;;-935000.0182;-1400000.006;;;;
;;;-934000.0688;560000002.4;;;;;-934000.0688;-1400000.006;;;;
;;;-933000.0612;560000002.4;;;;;-933000.0612;-15999999.64;;;;
;;;-932000.0536;560000002.4;;;;;-932000.0536;-1400000.006;;;;
;;;-931000.046;560000002.4;;;;;-931000.046;-1400000.006;;;;
;;;-930000.0384;560000002.4;;;;;-930000.0384;-1199999.973;;;;
;;;-929000.0307;599999964.2;;;;;-929000.0307;-1400000.006;;;;
;;;-928000.0231;599999964.2;;;;;-928000.0231;-1400000.006;;;;
;;;-927000.0737;599999964.2;;;;;-927000.0737;-1400000.006;;;;
;;;-926000.0661;599999964.2;;;;;-926000.0661;-1400000.006;;;;
;;;-925000.0585;599999964.2;;;;;-925000.0585;-1400000.006;;;;
;;;-924000.0509;639999985.7;;;;;-924000.0509;-1400000.006;;;;
;;;-923000.0433;639999985.7;;;;;-923000.0433;-1199999.973;;;;
;;;-922000.0356;639999985.7;;;;;-922000.0356;-15999999.64;;;;
;;;-921000.028;639999985.7;;;;;-921000.028;-1400000.006;;;;
;;;-920000.0204;639999985.7;;;;;-920000.0204;-1400000.006;;;;
;;;-919000.071;639999985.7;;;;;-919000.071;-1400000.006;;;;
;;;-918000.0634;680000007.2;;;;;-918000.0634;-1199999.973;;;;
;;;-917000.0558;680000007.2;;;;;-917000.0558;-1400000.006;;;;
;;;-916000.0482;639999985.7;;;;;-916000.0482;-1199999.973;;;;
;;;-915000.0406;639999985.7;;;;;-915000.0406;-1400000.006;;;;
;;;-914000.0329;680000007.2;;;;;-914000.0329;-1400000.006;;;;
;;;-913000.0253;639999985.7;;;;;-913000.0253;-1199999.973;;;;
;;;-912000.0177;680000007.2;;;;;-912000.0177;-1199999.973;;;;
;;;-911000.0683;680000007.2;;;;;-911000.0683;-1199999.973;;;;
;;;-910000.0607;680000007.2;;;;;-910000.0607;-1199999.973;;;;
;;;-909000.0531;719999969;;;;;-909000.0531;-1199999.973;;;;
;;;-908000.0455;680000007.2;;;;;-908000.0455;-1199999.973;;;;
;;;-907000.0378;680000007.2;;;;;-907000.0378;-1199999.973;;;;
;;;-906000.0302;719999969;;;;;-906000.0302;-1199999.973;;;;
