Sinusoidal, 0.1Hz, 2V;;Saturacion;;Sinusoidal, 0.3Hz, 2V;;Saturacion;;Sierra, 0.1Hz, 2V;;Saturacion;;Sierra, 0.3Hz, 2V;;Saturacion;
Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo;Corriente;Flujo
-0.147;-0.64;;;0.081;0.2;;;-0.048;-0.51;;;0.123;0.27;;
-0.132;-0.63;;;0.096;0.25;;;-0.039;-0.5;;;0.142;0.32;;
-0.117;-0.61;;;0.111;0.3;;;-0.031;-0.48;;;0.162;0.37;;
-0.102;-0.59;;;0.129;0.35;;;-0.024;-0.46;;;0.181;0.42;;
-0.087;-0.57;;;0.147;0.4;;;-0.015;-0.44;;;0.201;0.45;;
-0.073;-0.55;;;0.17;0.45;;;-0.009;-0.42;;;0.219;0.48;;
-0.059;-0.53;;;0.195;0.5;;;-0.002;-0.4;;;0.234;0.5;;
-0.046;-0.5;;;0.221;0.55;;;0.004;-0.37;;;0.245;0.51;;
-0.035;-0.47;;;0.25;0.59;;;0.011;-0.35;;;0.253;0.52;;
-0.024;-0.45;;;0.28;0.63;;;0.017;-0.32;;;0.254;0.53;;
-0.013;-0.42;;;0.307;0.66;;;0.021;-0.3;;;0.245;0.52;;
-0.004;-0.38;;;0.33;0.68;;;0.028;-0.27;;;0.226;0.52;;
0.005;-0.35;;;0.346;0.69;;;0.033;-0.24;;;0.202;0.51;;
0.013;-0.32;;;0.354;0.7;;;0.037;-0.21;;;0.177;0.51;;
0.021;-0.28;;;0.352;0.7;;;0.043;-0.18;;;0.153;0.49;;
0.028;-0.24;;;0.331;0.69;;;0.05;-0.14;;;0.131;0.48;;
0.036;-0.2;;;0.299;0.69;;;0.056;-0.11;;;0.108;0.47;;
0.044;-0.16;;;0.265;0.68;;;0.062;-0.08;;;0.088;0.45;;
0.052;-0.11;;;0.231;0.67;;;0.068;-0.04;;;0.07;0.42;;
0.061;-0.07;;;0.197;0.65;;;0.075;0;;;0.051;0.4;;
0.07;-0.02;;;0.165;0.64;;;0.083;0.03;;;0.035;0.37;;
0.08;0.02;;;0.136;0.61;;;0.09;0.07;;;0.021;0.34;;
0.089;0.07;;;0.107;0.59;;;0.1;0.11;;;0.007;0.31;;
0.1;0.12;;;0.082;0.56;;;0.109;0.15;;;-0.005;0.27;;
0.112;0.17;;;0.059;0.52;;;0.119;0.19;;;-0.016;0.22;;
0.125;0.22;;;0.037;0.48;;;0.131;0.24;;;-0.026;0.18;;
0.139;0.27;;;0.018;0.44;;;0.143;0.28;;;-0.036;0.13;;
0.154;0.32;;;0.003;0.39;;;0.158;0.32;;;-0.046;0.07;;
0.172;0.37;;;-0.011;0.34;;;0.174;0.36;;;-0.057;0.02;;
0.191;0.41;;;-0.022;0.29;;;0.194;0.41;;;-0.068;-0.03;;
0.214;0.46;;;-0.035;0.24;;;0.216;0.45;;;-0.082;-0.08;;
0.239;0.5;;;-0.047;0.19;;;0.242;0.49;;;-0.097;-0.13;;
0.268;0.54;;;-0.059;0.14;;;0.269;0.52;;;-0.115;-0.18;;
0.299;0.58;;;-0.071;0.09;;;0.295;0.55;;;-0.135;-0.23;;
0.333;0.61;;;-0.085;0.03;;;0.321;0.58;;;-0.155;-0.28;;
0.368;0.64;;;-0.099;-0.02;;;0.342;0.6;;;-0.177;-0.33;;
0.403;0.67;;;-0.116;-0.07;;;0.361;0.61;;;-0.199;-0.38;;
0.438;0.69;;;-0.133;-0.12;;;0.376;0.62;;;-0.219;-0.41;;
0.469;0.71;;;-0.153;-0.17;;;0.387;0.63;;;-0.237;-0.44;;
0.496;0.72;;;-0.177;-0.22;;;0.394;0.63;;;-0.253;-0.46;;
0.52;0.73;;;-0.203;-0.27;;;0.397;0.64;;;-0.263;-0.47;;
0.54;0.74;;;-0.231;-0.32;;;0.396;0.64;;;-0.269;-0.48;;
0.555;0.75;;;-0.26;-0.36;;;0.388;0.64;;;-0.27;-0.48;;
0.566;0.75;;;-0.291;-0.4;;;0.377;0.63;;;-0.258;-0.48;;
0.573;0.75;;;-0.317;-0.42;;;0.364;0.63;;;-0.236;-0.47;;
0.576;0.76;;;-0.339;-0.44;;;0.351;0.63;;;-0.212;-0.47;;
0.577;0.76;;;-0.352;-0.45;;;0.339;0.63;;;-0.187;-0.46;;
0.573;0.76;;;-0.359;-0.46;;;0.325;0.63;;;-0.162;-0.45;;
0.567;0.76;;;-0.355;-0.46;;;0.312;0.62;;;-0.14;-0.43;;
0.557;0.75;;;-0.332;-0.45;;;0.298;0.62;;;-0.118;-0.42;;
0.547;0.75;;;-0.299;-0.45;;;0.285;0.62;;;-0.096;-0.4;;
0.536;0.75;;;-0.265;-0.44;;;0.272;0.61;;;-0.076;-0.38;;
